orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,side_mid_ratio,lr_corr,ro_mid,ro_side,side_to_mid_rolloff,holes_inband,flatness_inband,side_flatness_inband,terrace_peakfrac,preecho_pct,aliasing_corr,mp3_pattern
39,mp3_v0,1,6522.9,1,1,0.305391,0.5351,10249.8,10012.9,0.9769,0.5865,0.009583,0.007923,0.24051,100.0,0.1544,0
42,authentic,0,3993.2,1,1,0.0,1.0,3811.4,21683.9,5.6893,0.0,0.591065,0.999465,0.25143,0.0,0.1172,0
42,mp3_128,1,3993.2,1,1,0.0,1.0,3789.8,20564.2,5.4261,0.0,0.597304,0.996554,0.25287,0.0,0.1827,0
42,mp3_320,1,3993.2,1,1,0.0,1.0,3811.4,19939.7,5.2316,0.0,0.591077,0.999339,0.25143,0.0,0.1178,0
42,mp3_v0,1,3993.2,1,1,0.0,1.0,3789.8,21619.3,5.7045,0.0,0.597063,0.998522,0.25862,0.0,0.1604,0
43,authentic,0,894.0,1,1,0.08178,0.8521,1033.6,1227.4,1.1875,0.13043,0.054998,0.064044,0.1087,2.44,0.0957,0
43,mp3_128,1,894.0,1,1,0.082088,0.8515,969.0,1076.7,1.1111,0.13636,0.057722,0.073145,0.11364,15.0,0.2209,0
43,mp3_320,1,894.0,1,1,0.081779,0.8521,1012.1,1184.3,1.1702,0.13333,0.053961,0.064055,0.11111,4.88,0.0986,0
43,mp3_v0,1,894.0,1,1,0.081786,0.8521,990.5,1119.7,1.1304,0.13636,0.057439,0.068782,0.11364,24.39,0.1567,0
44,authentic,0,1991.5,1,1,0.617958,0.2369,2217.9,2390.2,1.0777,0.0198,0.117599,0.124053,0.12871,100.0,0.1896,0
44,mp3_128,1,1991.5,1,1,0.61782,0.237,2196.4,2390.2,1.0882,0.01,0.12006,0.127201,0.13,100.0,0.1676,0
44,mp3_320,1,1991.5,1,1,0.617964,0.2369,2217.9,2390.2,1.0777,0.0198,0.117601,0.124038,0.12871,87.5,0.1922,0
44,mp3_v0,1,1991.5,1,1,0.618009,0.2369,2196.4,2390.2,1.0882,0.02,0.11946,0.125646,0.13,100.0,0.3251,0
45,authentic,0,4009.7,1,1,0.000277,0.9995,4242.0,19444.5,4.5838,0.00513,0.140274,0.323512,0.11795,74.19,0.0993,0
45,mp3_128,1,4009.7,1,1,0.000279,0.9994,4199.0,6223.1,1.4821,0.00518,0.143785,0.34986,0.11917,76.67,0.2349,0
45,mp3_320,1,4009.7,1,1,0.000277,0.9995,4220.5,17420.4,4.1276,0.00515,0.141723,0.33053,0.11856,74.19,0.1012,0
45,mp3_v0,1,4009.7,1,1,0.000277,0.9994,4199.0,12015.5,2.8615,0.00518,0.142968,0.338274,0.11917,77.42,0.1582,0
40,authentic,0,5941.9,1,1,0.198187,0.671,5814.0,7558.2,1.3,0.52239,0.022115,0.071817,0.1903,0.0,0.2557,0
40,mp3_128,1,5941.9,1,1,0.19852,0.6705,6007.8,7665.8,1.276,0.53791,0.021162,0.069904,0.19495,0.0,0.2541,0
